scen_name,car_name,scenic_vector_x,scenic_vector_y,scenic_heading,true_left_x,true_left_y,rd_world_x,rd_world_y,road_s,road_t,scen_name,car_name,scenic_vector_x,scenic_vector_y,scenic_heading,true_left_x,true_left_y,rd_world_x,rd_world_y,road_s,road_t,scenic_dist_x,scenic_dist_y,scenic_dot_product,rd_dist_x,rd_dist_y,rd_dot_product,s_dist,t_dist
Left of 2,fellow1,-103.53335165047974,-328.74558184497425,-0.1401570361394115,0.1396986126202352,0.990194070691186,-97.82094321864736,-329.46053188351846,129.99336191384663,0.0803350087802126,Left of 2,fellow2,-107.49412793324449,-328.1867873944933,-0.14015703613941155,0.13969861262023528,0.990194070691186,-101.7169455262365,-328.91295619662026,129.9925823696449,0.044092570109251786,-3.9607762827647406,0.5587944504809457,5.329070518200751e-15,-3.896002307589143,0.5475756868981989,-0.0020599187141880915,-0.0007795442017197729,-0.036242438670960817
Left of 2,fellow1,159.27069350685164,-685.5929783481463,2.8695522413398,-0.2686973700285333,-0.9632246484282624,160.10088608320785,-681.6249178332988,818.5881643549752,-1.736384995232076,Left of 2,fellow2,163.12359210056468,-686.6677678282604,2.8695522413397994,-0.26869737002853333,-0.9632246484282623,163.8898041647535,-682.6822511153034,818.5890180094534,-1.686650162406907,3.852898593713036,-1.0747894801140774,-4.9960036108132044e-14,3.78891808154566,-1.0573332820046062,0.0003771550655129463,0.0008536544781918565,0.049734832825168995
Left of 2,fellow1,606.9633805667535,-317.51723762257234,-0.2714685364804375,0.2681464812838351,0.9633781524277464,601.2601226204482,-317.5926700290126,1810.0162759789205,-2.766,Left of 2,fellow2,603.1098679570425,-316.444651697437,-0.2714685364804375,0.2681464812838351,0.9633781524277463,597.4705963793065,-316.5375138328969,1810.027096345299,-2.766,-3.853512609710947,1.0725859251353427,1.2434497875801753e-14,-3.7895262411417434,1.0551561961157176,0.00036629944173238727,0.010820366378538893,0.0
Left of 2,fellow1,161.79596842632532,-680.3856333620041,2.870107674704274,-0.2681623215014159,-0.963373743324454,162.5950300895581,-676.4789473984661,812.9615655758339,-1.7036458774871177,Left of 2,fellow2,165.64946339962313,-681.4582826480098,2.8701076747042746,-0.2681623215014159,-0.9633737433244541,166.38453886237605,-677.5341661943411,812.9617106855769,-1.6539032910153806,3.8534949732978134,-1.072649286005685,2.1316282072803006e-14,3.7895087728179533,-1.055218795875021,0.0003666115395979386,0.00014510974301629176,0.04974258647173713
Left of 2,fellow1,613.4320473832039,-301.91718203185013,-0.2941372770963604,0.2899142869061151,0.9570526141481036,607.6531773927732,-302.1776794346284,1826.544427460591,-2.766,Left of 2,fellow2,609.6038369266115,-300.7575248842257,-0.2941372770963604,0.28991428690611515,0.9570526141481035,603.8887051561206,-301.0364967765806,1826.551842702689,-2.766,-3.8282104565923873,1.1596571476244435,-8.215650382226158e-15,-3.764472236652523,1.1411826580477964,0.0007975620381406312,0.007415242098204544,0.0
Left of 2,fellow1,599.5807505361144,-458.28540549011126,-0.0001858800958709,0.0001858800948006,0.999999982724295,593.7390808268203,-456.6350722323792,1670.900853741396,-2.42151062034913,Left of 2,fellow2,595.5807506052172,-458.28466196973204,-0.00018588009587094945,0.00018588009480060744,0.999999982724295,589.8034664218853,-456.63871687750924,1670.9060473851328,-1.4790883209663814,-3.999999930897161,0.0007435203792169887,1.4592277039482404e-14,-3.935614404934995,-0.0036446451300662375,-0.004376197445790347,0.005193643736674858,0.9424222993827485
Left of 2,fellow1,550.8513897131893,-100.36714046435712,0.2702487393034318,-0.2669711561362865,0.9637045199599588,546.4481376595263,-103.1786490274372,2062.561289989743,4.645789042092311,Left of 2,fellow2,546.9965716333495,-101.43502508890226,0.27024873930343185,-0.2669711561362865,0.9637045199599588,542.6534154175796,-104.23760053878185,2062.5260699816517,4.581688883680204,-3.854818079839788,-1.0678846245451439,-1.0436096431476471e-14,-3.7947222419467153,-1.0589515113446453,-0.007434973752668439,-0.035220008091073396,-0.06410015841210637
Left of 2,fellow1,-87.06010969696482,-286.5382753709161,-0.7033650256806983,0.6467877486192507,0.7626700520120355,-81.53572468857901,-287.7550605759401,181.29806469629045,0.2318277408736965,Left of 2,fellow2,-90.11078990501296,-283.95112437643917,-0.7033650256806983,0.6467877486192507,0.7626700520120355,-84.53257320222752,-285.2031153738057,181.04971834725293,0.20394965203106533,-3.050680208048149,2.5871509944769286,-6.106226635438361e-14,-2.9968485136485157,2.551945202134391,0.007967276948029234,-0.24834634903751862,-0.027878088842631182
Left of 2,fellow1,540.5993784956722,-68.41583840111592,0.5978257375718692,-0.5628466439411093,0.8265613440055313,536.4195317674008,-71.6321159879219,2097.1277080905024,4.476386596972097,Left of 2,fellow2,537.2931331196501,-70.66722497688036,0.5978257375718692,-0.5628466439411093,0.8265613440055313,533.1623896221057,-73.85939165306839,2097.061374858038,4.421367200512382,-3.3062453760221615,-2.2513865757644425,1.6209256159527285e-14,-3.25714214529512,-2.227275665146479,-0.007708441935784016,-0.06633323246433065,-0.05501939645971543
Left of 2,fellow1,328.7164749180984,-813.2857098654167,-1.3805594564319956,0.9819594724937636,0.1890914973756612,326.5859125224332,-807.5593511801761,1131.622596477277,0.9318931199243632,Left of 2,fellow2,327.96010892859573,-809.3578719754416,-1.3805594564319956,0.9819594724937635,0.1890914973756612,325.8488988502145,-803.6807206780743,1131.6290303777625,0.9194435412387645,-0.7563659895026831,3.9278378899750805,-3.26405569239796e-14,-0.7370136722187226,3.878630502101828,0.009698492616758814,0.006433900485490085,-0.012449578685598706
Left of 2,fellow1,160.42453104183875,-660.5720061597171,2.8712727745469437,-0.2670397131491026,-0.963685525262907,161.2818752827855,-656.9108669112902,794.4481544180453,-1.7208828652980963,Left of 2,fellow2,164.2792731428904,-661.6401650123136,2.8712727745469433,-0.26703971314910263,-0.963685525262907,165.07261931545455,-657.9616492173293,794.4531616608654,-1.6711240643184535,3.8547421010516416,-1.0681588525964116,-2.220446049250313e-15,3.790744032669039,-1.050782306039082,0.0003444994266288415,0.00500724282005649,0.0497588009796428
Left of 2,fellow1,458.8633959943164,-44.07102611221079,1.8213608512708144,-0.9687726017373044,-0.2479508945802256,456.0436633328717,-47.67664046195373,2193.202265402501,3.1186835634765844,Left of 2,fellow2,459.85519957263733,-47.94611651916001,1.8213608512708142,-0.9687726017373044,-0.24795089458022562,457.01242137249614,-51.50291542838624,2193.243971637475,3.135047750324439,0.991803578320912,-3.8750904069492194,-8.881784197001252e-15,0.9687580396244471,-3.826274966432507,0.010222054335956576,0.04170623497429915,0.01636418684785479
Left of 2,fellow1,235.21444485467964,-56.528145112456286,0.4775188623049211,-0.4595769998954305,0.8881379291343858,235.9718107066901,-60.22516468576723,2436.4854978956955,-0.5987533702335454,Left of 2,fellow2,231.6618931381421,-58.36645311203801,0.47751886230492113,-0.45957699989543055,0.8881379291343858,232.47308164709767,-62.04471932634307,2436.5278056717148,-0.6578536344062047,-3.5525517165375504,-1.8383079995817226,2.6645352591003757e-15,-3.4987290595924208,-1.8195546405758378,-0.00808008577344066,0.04230777601924274,-0.059100264172659345
Left of 2,fellow1,184.9412295893404,24.017948770582564,0.3813546908453147,-0.3721781821541589,0.9281613010293124,186.65498695687708,19.273802662444584,2484.579964868741,-1.38782539606654,Left of 2,fellow2,181.22858438522312,22.529236041965927,0.3813546908453147,-0.3721781821541589,0.9281613010293123,182.99938013940704,17.799362049613023,2484.579964868741,-1.4358103326707252,-3.7126452041172797,-1.4887127286166368,9.992007221626409e-15,-3.6556068174700442,-1.474440612831561,-0.007981617499847271,0.0,-0.047984936604185124
Left of 2,fellow1,191.3728594827336,-552.0399905353039,2.940472604256891,-0.1997669288658857,-0.979843443684496,191.93039195032176,-549.6817642305447,682.6553052153466,-1.318578349868328,Left of 2,fellow2,195.2922332574716,-552.8390582507675,2.940472604256891,-0.19976692886588576,-0.979843443684496,195.78521908567745,-550.4666990513609,682.743269909798,-1.267978368812884,3.9193737747380055,-0.7990677154635932,4.518607710224387e-14,3.8548271353556913,-0.784934820816261,-0.0009537402424083519,0.0879646944513297,0.05059998105544383
Left of 2,fellow1,599.5800040678059,-349.1422630173333,-0.149100607326285,0.1485487786892298,0.9889050815674568,593.9377969842714,-348.8362515386087,1778.3202475297285,-2.469095195147585,Left of 2,fellow2,595.6243837415361,-348.54806790257635,-0.14910060732628505,0.1485487786892298,0.9889050815674567,590.0469323346472,-348.25370557450475,1778.312792218799,-1.5373886730127193,-3.955620326269809,0.5941951147569284,1.1879386363489175e-14,-3.890864649624177,0.5825459641039288,-0.001900527597781143,-0.007455310929572079,0.9317065221348657
